Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
72151.242	46591.020	2993670	387652	172956640	57.774	84.669	28.000	1	2772	248.772	219.747	16.684	40.435	16.777	39.556	275.346	212.207	17.739	6	0	1	506	434	32
12.798	52.041	531	300	1175	2.213	1.716	2.000	1	10	282.480	5.420	4.755	1.531	0.479	1.474	282.590	5.225	4.205	277	0	1	14	12	12
2.169	12.397	90	72	705	7.833	8.859	4.000	1	37	302.033	1.189	2.556	0.727	0.181	0.722	302.021	0.807	2.128	299	0	1	7	4	5
3.061	15.766	127	90	713	5.614	7.000	3.000	1	39	441.709	5.189	2.622	0.810	0.162	0.770	441.777	5.174	2.021	439	3	1	7	6	6
0.964	7.373	40	38	66	1.650	1.001	1.000	1	5	334.650	6.050	1.600	0.500	0.137	0.504	334.697	6.045	1.485	333	4	1	5	6	3
2.627	14.021	109	81	281	2.578	2.331	2.000	1	12	250.605	13.009	2.229	0.742	0.138	0.750	250.690	13.142	1.915	248	10	1	6	7	5
5.326	22.237	221	136	3526	15.955	25.831	5.000	1	159	269.167	13.606	3.271	1.015	0.211	0.983	269.141	13.670	2.244	266	10	1	7	8	7
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	440.000	11.000	1.100	0.281	0.099	0.301	440.000	11.000	1.100	439	10	1	3	3	2
0.458	4.004	19	19	21	1.105	0.315	1.000	1	2	352.421	12.000	1.368	0.357	0.088	0.365	352.429	12.000	1.333	351	11	1	4	3	2
1.567	9.787	65	50	168	2.585	1.999	2.000	1	9	387.000	19.462	2.354	0.631	0.104	0.643	387.000	19.369	2.060	385	17	1	5	6	4
0.771	5.766	32	30	38	1.188	0.397	1.000	1	2	353.000	24.000	2.312	0.486	0.145	0.442	353.000	24.000	2.237	352	23	1	3	3	4
2.940	15.589	122	86	573	4.697	5.775	2.000	1	28	404.492	29.566	2.762	0.826	0.189	0.786	404.531	29.592	1.976	402	27	1	6	6	6
4.459	20.315	185	119	2180	11.784	18.083	4.000	1	103	358.416	34.135	3.016	0.945	0.194	0.919	358.334	34.218	2.130	355	31	1	8	7	7
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	419.000	33.000	1.100	0.281	0.099	0.301	419.000	33.000	1.100	418	32	1	3	3	2
2.603	13.597	108	81	480	4.444	5.281	2.000	1	29	287.139	35.269	2.583	0.764	0.155	0.743	287.131	35.138	1.973	285	33	1	6	6	5
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	6.000	55.000	1.100	0.281	0.099	0.301	6.000	55.000	1.100	5	54	1	3	3	2
0.482	4.285	20	18	22	1.100	0.308	1.000	1	2	412.500	64.000	2.000	0.407	0.081	0.409	412.500	64.000	2.000	411	63	1	4	3	3
0.530	4.709	22	22	29	1.318	0.568	1.000	1	3	261.000	67.000	1.409	0.375	0.096	0.386	261.000	67.000	1.345	259	65	1	5	5	2
0.868	7.036	36	34	45	1.250	0.554	1.000	1	3	264.000	71.000	2.167	0.508	0.156	0.499	264.000	71.000	2.022	262	69	1	5	5	4
4.218	19.804	175	113	1864	10.651	16.748	3.000	1	102	458.966	75.011	2.977	0.938	0.211	0.913	458.976	75.039	2.031	456	72	1	7	7	7
0.434	4.709	18	18	20	1.111	0.471	1.000	1	3	16.000	76.000	1.278	0.360	0.106	0.368	16.000	76.000	1.250	14	74	1	5	5	2
2.000	12.327	83	65	247	2.976	3.100	2.000	1	17	474.916	80.217	2.458	0.712	0.172	0.683	474.879	80.170	1.907	472	78	1	6	6	5
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	390.000	88.000	1.357	0.318	0.068	0.353	390.000	88.000	1.333	389	87	1	3	3	2
6.941	26.840	288	170	7980	27.708	51.561	6.000	1	340	278.097	98.788	3.528	1.121	0.229	1.117	278.105	98.792	2.294	274	95	1	9	8	8
3.591	17.477	149	102	1156	7.758	10.951	3.000	1	61	453.658	98.899	2.691	0.863	0.184	0.837	453.670	98.892	1.986	450	96	1	8	7	6
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	128.000	98.000	1.357	0.318	0.068	0.353	128.000	98.000	1.333	127	97	1	3	3	2
0.675	5.502	28	25	40	1.429	0.634	1.000	1	3	394.000	97.821	2.214	0.456	0.119	0.444	394.000	97.725	2.150	393	96	1	3	4	4
0.554	6.314	23	23	25	1.087	0.417	1.000	1	3	292.609	101.565	1.348	0.530	0.195	0.515	292.640	101.680	1.320	291	98	1	4	7	2
0.265	2.857	11	11	11	1.000	0.000	1.000	1	1	296.909	100.000	1.182	0.296	0.091	0.320	296.909	100.000	1.182	296	99	1	3	3	2
1.976	11.568	82	63	215	2.622	2.334	1.500	1	12	411.073	108.720	2.451	0.687	0.148	0.651	411.130	108.758	2.051	409	106	1	5	6	5
0.603	6.350	25	25	25	1.000	0.000	1.000	1	1	480.360	108.480	1.200	0.531	0.203	0.555	480.360	108.480	1.200	478	106	1	6	6	2
0.530	4.709	22	22	29	1.318	0.568	1.000	1	3	499.000	109.000	1.409	0.375	0.096	0.386	499.000	109.000	1.345	497	107	1	5	5	2
0.458	4.321	19	19	19	1.000	0.000	1.000	1	1	82.105	110.316	1.316	0.372	0.109	0.356	82.105	110.316	1.316	81	108	1	3	5	2
1.253	8.396	52	45	134	2.577	2.287	1.000	1	11	327.865	113.173	1.731	0.546	0.107	0.551	327.896	113.172	1.493	326	111	1	5	6	3
1.036	8.660	43	41	46	1.070	0.258	1.000	1	2	91.070	113.279	1.721	0.565	0.187	0.562	91.043	113.283	1.674	88	110	1	7	6	3
